UV-B,PRR,survival
NA,dark control,4.416666667
NA,dark control,5.727272727
NA,dark control,5.1875
6,PRR+,5.245283019
6,PRR+,5.782470961
6,PRR+,4.45982575
28,PRR+,2.962962963
28,PRR+,3.047619048
28,PRR+,2.210526316
44,PRR+,2.523809524
44,PRR+,2.8
44,PRR+,1.555555556
58,PRR+,1.3
58,PRR+,1.833333333
58,PRR+,0.25
6,PRR-,4.980551053
6,PRR-,5.501179245
6,PRR-,4.242162162
28,PRR-,1
28,PRR-,0.714285714
28,PRR-,0.857142857
44,PRR-,0
44,PRR-,0
44,PRR-,0
58,PRR-,0
58,PRR-,0
