PRR,UV-B,survival
PRR+,0,1.001
PRR+,0,0.978
PRR+,0,1.021
PRR+,54,1.013
PRR+,54,0.935
PRR+,54,1.022
PRR+,134,0.804
PRR+,134,0.845
PRR+,134,0.899
PRR+,233,0.147
PRR+,233,0.231
PRR+,233,0
dark control,NA,1.045
dark control,NA,0.985
dark control,NA,0.97
PRR-,54,0.837
PRR-,54,0.837
PRR-,54,0.891
PRR-,134,0
PRR-,134,0.609
PRR-,134,0.651
PRR-,233,0.232
PRR-,233,0.172
PRR-,233,0.121
