PRR,UV-B,survival
PRR-,7,0.391304348
PRR-,7,0.304347826
PRR-,7,0.47826087
PRR-,13,0.52173913
PRR-,13,1.260869565
PRR-,13,1.217391304
PRR-,26,0.304347826
PRR-,26,0.347826087
PRR-,26,0.47826087
PRR-,97,0.106215522
PRR-,97,0.115942029
PRR-,97,0.173913044
PRR+,7,0.401785714
PRR+,7,0.375
PRR+,7,1.125
PRR+,13,0.776785714
PRR+,13,0.455357143
PRR+,13,1.607142857
PRR+,26,0.723214286
PRR+,26,0.321428571
PRR+,26,1.848214286
PRR+,97,0.455357143
PRR+,97,1.6875
PRR+,97,0.857142857
