PRR,UV-B,survival
PRR+,7,1.88
PRR+,7,0.87
PRR+,7,0.19
PRR+,13,0.23
PRR+,13,1.52
PRR+,13,0.36
PRR+,26,0.65
PRR+,26,1.2
PRR+,26,1.14
PRR+,97,0
PRR+,97,0
PRR+,97,0
PRR-,7,1.13
PRR-,7,0.75
PRR-,7,1.13
PRR-,13,1.13
PRR-,13,0
PRR-,13,0
PRR-,26,0.38
PRR-,26,0
PRR-,26,0
PRR-,97,0
PRR-,97,0
PRR-,97,0
