PRR,UV-B,survival
dark control,NA,0.950413223
dark control,NA,1.008264463
dark control,NA,1.024793388
dark control,NA,1.115702479
dark control,NA,1.066115702
dark control,NA,0.834710744
PRR-,3.15,0.79338843
PRR-,3.15,0.876033058
PRR-,3.15,0.760330579
PRR-,3.15,0.67768595
PRR-,3.15,0.727272727
PRR-,3.15,0.975206612
PRR-,5.09,0.644628099
PRR-,5.09,0.900826446
PRR-,5.09,0.727272727
PRR-,5.09,0.595041322
PRR-,5.09,0.801652893
PRR-,5.09,0.743801653
PRR-,7.7,0.520661157
PRR-,7.7,0.446280992
PRR-,7.7,0.611570248
PRR-,7.7,0.413223141
PRR-,7.7,0.487603306
PRR-,7.7,0.47107438
PRR-,9.39,0.413223141
PRR-,9.39,0.371900826
PRR-,9.39,1
PRR-,9.39,1
PRR-,9.39,0.363636364
PRR-,9.39,0.504132231
PRR-,13.57,0.371900826
PRR-,13.57,0.330578512
PRR-,13.57,0.198347107
PRR-,13.57,0.380165289
PRR-,13.57,0.289256198
PRR-,13.57,0.413223141
PRR+,0,1.131474104
PRR+,0,1.187250996
PRR+,0,1.051792829
PRR+,0,0.836653387
PRR+,0,0.916334661
PRR+,0,0.876494024
PRR+,16.11,0.908366534
PRR+,16.11,0.980079681
PRR+,16.11,0.812749004
PRR+,16.11,0.820717132
PRR+,16.11,0.940239044
PRR+,16.11,0.852589641
PRR+,28.11,0.685258964
PRR+,28.11,0.836653387
PRR+,28.11,0.693227092
PRR+,28.11,0.693227092
PRR+,28.11,0.597609562
PRR+,28.11,0.669322709
PRR+,48.68,0.35059761
PRR+,48.68,0.270916335
PRR+,48.68,0.35059761
PRR+,48.68,0.478087649
PRR+,48.68,0.374501992
PRR+,48.68,0.35059761
PRR+,69.36,0.247011952
PRR+,69.36,0.207171315
PRR+,69.36,0.167330677
PRR+,69.36,0.239043825
PRR+,69.36,0.12749004
PRR+,69.36,0.143426295
PRR+,83.13,0.039840638
PRR+,83.13,0.06374502
PRR+,83.13,0.103585657
PRR+,83.13,0.087649402
