PRR,UV-B,survival
PRR+,7,0.5
PRR+,7,0.333333333
PRR+,7,0.5
PRR+,13,1.166666667
PRR+,13,0.5
PRR+,13,0.5
PRR+,26,0.666666667
PRR+,26,0.333333333
PRR+,26,2
PRR+,97,0
PRR+,97,0.166666667
PRR+,97,0
PRR-,7,0.4
PRR-,7,2
PRR-,7,0.2
PRR-,13,0.6
PRR-,13,0.6
PRR-,13,1.8
PRR-,26,0
PRR-,26,0
PRR-,26,0
PRR-,97,0
PRR-,97,0
PRR-,97,0
